"","motif","sourceMotif","gene"
"BHLHE41.m0","BHLHE41.m0","N6_M04311/N5_M04310/N4_M02987/N7_MA0636.1/N8_BHLHE41.h0/N10_BHLHE41.e1/N3_M02986/N9_BHLHE41.e0","BHLHE41"
"BMAL1.m0","BMAL1.m0","N1_Bmal1.h0/N5_M01833/N7_MA0603.2/N6_M10601/N8_BMAL1.h0/N3_M04328","BMAL1"
"BMAL1.m1","BMAL1.m1","N2_M02991/N9_BMAL1.e0","BMAL1"
"BNC2.m0","BNC2.m0","MA1928.2","BNC2"
"BORCS8-MEF2B.m0","BORCS8-MEF2B.m0","N1_M02949/N4_M03548/N3_M03547/N24_M12066/N22_M12060","BORCS8-MEF2B"
"BORCS8-MEF2B.m1","BORCS8-MEF2B.m1","N7_M05759/N5_M05755/N8_M05760/N6_M05756","BORCS8-MEF2B"
"BORCS8-MEF2B.m2","BORCS8-MEF2B.m2","N11_M05763/N12_M05764","BORCS8-MEF2B"
"BORCS8-MEF2B.m3","BORCS8-MEF2B.m3","N20_M12058","BORCS8-MEF2B"
"BORCS8-MEF2B.m4","BORCS8-MEF2B.m4","N23_M12061","BORCS8-MEF2B"
"BRCA1.m0","BRCA1.m0","BRCA1.e0","BRCA1"
"BSX.m0","BSX.m0","N1_Bsx.h0/N4_BSX.e0","BSX"
"BSX.m1","BSX.m1","N2_MA0876.2/N3_BSX.h0/N5_BSX.e1","BSX"
"BZIP--IRF.m0","BZIP--IRF.m0","bZIP--IRF.h0","BZIP--IRF"
"CASZ1.m0","CASZ1.m0","M06129","CASZ1"
"CBX5.m0","CBX5.m0","CBX5.e0","CBX5"
"CCDC6.m0","CCDC6.m0","CCDC6.e0","CCDC6"
"CCNT2.m0","CCNT2.m0","N1_CCNT2.e0","CCNT2"
"CCNT2.m1","CCNT2.m1","N2_CCNT2.e1","CCNT2"
"CDC5L.m0","CDC5L.m0","N1_M12160","CDC5L"
"CDC5L.m1","CDC5L.m1","N2_M12172/N3_CDC5L.e0","CDC5L"
"CDX1.m0","CDX1.m0","N4_M05222/N7_CDX1.h0/N6_MA0878.3/N1_Cdx1.h0/N8_CDX1.e0","CDX1"
"CDX1.m1","CDX1.m1","N3_M03319/N9_CDX1.e1","CDX1"
"CDX1.m2","CDX1.m2","N5_M05223","CDX1"
"CDX2.m0","CDX2.m0","N1_M10695/N2_Cdx2.h0/N3_Cdx2.h1/N9_CDX2.e1/N6_MA0465.3/N7_CDX2.h0/N4_M03400/N10_CDX2.e2","CDX2"
"CDX2.m1","CDX2.m1","N5_M05454","CDX2"
"CDX2.m2","CDX2.m2","N8_CDX2.e0","CDX2"
"CDX4.m0","CDX4.m0","N1_M05333/N4_MA1473.2/N6_CDX4.h1/N3_M05335","CDX4"
"CDX4.m1","CDX4.m1","N2_M05334","CDX4"
"CEBP--AP1.m0","CEBP--AP1.m0","CEBP--AP1.h0","CEBP--AP1"
"CEBP--CEBP.m0","CEBP--CEBP.m0","CEBP--CEBP.h0","CEBP--CEBP"
"CEBPA.m0","CEBPA.m0","N1_M01075/N2_M01076","CEBPA"
"CEBPA.m1","CEBPA.m1","N8_MA0102.5/N9_CEBPA.h0","CEBPA"
"CEBPB.m0","CEBPB.m0","N20_MA0466.4/N23_CEBPB.e0/N13_M04536/N8_M03071/N33_CEBPB.e11/N11_M03056/N32_CEBPB.e10/N16_M08289/N17_M08290/N1_M01080/N15_M08288/N10_M03055/N22_CEBPB.h1/N31_CEBPB.e9/N14_M06227/N12_M04535","CEBPB"
"CEBPB.m1","CEBPB.m1","N24_CEBPB.e1","CEBPB"
"CEBPD.m0","CEBPD.m0","N3_M03063/N9_CEBPD.e1/N1_M01071/N5_M04585/N2_M01072/N4_M04584","CEBPD"
"CEBPD.m1","CEBPD.m1","N6_MA0836.3/N7_CEBPD.h0","CEBPD"
"CEBPE.m0","CEBPE.m0","N7_MA0837.3/N6_M04432/N5_M04431/N3_M03028/N8_CEBPE.h0/N9_CEBPE.e0","CEBPE"
"CEBPG.m0","CEBPG.m0","N3_M03044/N10_MA0838.1/N12_CEBPG.h0/N15_CEBPG.e1/N4_M03045/N16_CEBPG.e2/N2_M01079/N1_M01078/N7_M04508/N5_M04232/N6_M04507","CEBPG"
"CEBPG.m1","CEBPG.m1","N11_MA1636.2/N13_CEBPG.h1","CEBPG"
"CENPB.m0","CENPB.m0","N1_M03143/N2_CENPB.h0/N3_CENPB.e0","CENPB"
"CGGBP1.m0","CGGBP1.m0","M06204","CGGBP1"
"CHD2.m0","CHD2.m0","N1_CHD2.e0","CHD2"
"CHD2.m1","CHD2.m1","N2_CHD2.e1","CHD2"
"CIC.m0","CIC.m0","N1_M00125","CIC"
"CIC.m1","CIC.m1","N2_M00250","CIC"
"CIC.m2","CIC.m2","N3_M00251","CIC"
"CIC.m3","CIC.m3","N4_M04179","CIC"
"CIC.m4","CIC.m4","N6_M05968/N5_M05967","CIC"
"CIC.m5","CIC.m5","N7_M06848","CIC"
"CIC.m6","CIC.m6","N8_M09730","CIC"
"CLOCK--ARNTL.m0","CLOCK--ARNTL.m0","CLOCK--ARNTL.e0","CLOCK--ARNTL"
"CLOCK.m0","CLOCK.m0","N2_M02993/N7_CLOCK.h1/N8_CLOCK.e0/N3_M04333/N5_MA0819.3/N1_M10596/N6_CLOCK.h0","CLOCK"
"CLOCK.m1","CLOCK.m1","N4_M04334","CLOCK"
"CPEB1.m0","CPEB1.m0","N1_M03785/N2_CPEB1.e0","CPEB1"
