"","motif","sourceMotif","gene"
"Nr2e1.m3","Nr2e1.m3","N10_NR2E1.h0","Nr2e1"
"Nr2e3.m0","Nr2e3.m0","N2_Nr2e3.h0/N8_NR2E3.e0/N1_MA0164.2","Nr2e3"
"Nr2e3.m1","Nr2e3.m1","N3_M00424","Nr2e3"
"Nr2e3.m2","Nr2e3.m2","N6_M00427","Nr2e3"
"Nr2e3.m3","Nr2e3.m3","N7_M00428","Nr2e3"
"Nr2f1.m0","Nr2f1.m0","N1_MA1538.1/N6_NR2F1.h2","Nr2f1"
"Nr2f1.m1","Nr2f1.m1","N2_MA0017.3/N4_NR2F1.h0/N11_NR2F1.e4","Nr2f1"
"Nr2f1.m2","Nr2f1.m2","N8_NR2F1.e1/N3_MA1537.2/N5_NR2F1.h1","Nr2f1"
"Nr2f1.m3","Nr2f1.m3","N9_NR2F1.e2","Nr2f1"
"Nr2f1.m4","Nr2f1.m4","N10_NR2F1.e3","Nr2f1"
"Nr2f2.m0","Nr2f2.m0","N1_Nr2f2.h0/N8_NR2F2.e1/N6_NR2F2.h2/N3_MA1111.2","Nr2f2"
"Nr2f2.m1","Nr2f2.m1","N2_Nr2f2.h1","Nr2f2"
"Nr2f2.m2","Nr2f2.m2","N5_NR2F2.h1/N4_NR2F2.h0","Nr2f2"
"Nr2f6.m0","Nr2f6.m0","N3_Nr2f6.h1/N4_MA0728.1/N10_NR2F6.e3/N7_NR2F6.e0","Nr2f6"
"Nr2f6.m1","Nr2f6.m1","N5_MA1539.1/N6_NR2F6.h0","Nr2f6"
"Nr2f6.m2","Nr2f6.m2","N11_NR2F6.e4/N8_NR2F6.e1","Nr2f6"
"Nr3c1.m0","Nr3c1.m0","N3_M03570/N12_NR3C1.h0/N36_NR3C1.e23/N11_MA0113.4/N4_M05791","Nr3c1"
"Nr3c1.m1","Nr3c1.m1","N14_NR3C1.e1","Nr3c1"
"Nr3c1.m2","Nr3c1.m2","N15_NR3C1.e2","Nr3c1"
"Nr3c1.m3","Nr3c1.m3","N16_NR3C1.e3","Nr3c1"
"Nr3c1.m4","Nr3c1.m4","N17_NR3C1.e4","Nr3c1"
"Nr3c1.m5","Nr3c1.m5","N29_NR3C1.e16/N23_NR3C1.e10","Nr3c1"
"Nr3c1.m6","Nr3c1.m6","N24_NR3C1.e11/N27_NR3C1.e14/N28_NR3C1.e15/N25_NR3C1.e12/N26_NR3C1.e13","Nr3c1"
"Nr3c2.m0","Nr3c2.m0","N1_M00892","Nr3c2"
"Nr3c2.m1","Nr3c2.m1","N3_M03586/N6_MA0727.2/N7_NR3C2.h0/N8_NR3C2.e0","Nr3c2"
"NR4A1.m0","NR4A1.m0","N2_NR4A1.h0/N1_MA1112.3/N3_NR4A1.h1","NR4A1"
"NR4A2--RXRA.m0","NR4A2--RXRA.m0","N1_MA1147.2/N2_NR4A2--RXRA.h0","NR4A2--RXRA"
"Nr4a2.m0","Nr4a2.m0","N2_NR4A2.h0/N3_NR4A2.e0","Nr4a2"
"Nr4a2.m1","Nr4a2.m1","N4_NR4A2.e1","Nr4a2"
"Nr4a2.m2","Nr4a2.m2","N5_NR4A2.e2","Nr4a2"
"Nr4a2.m3","Nr4a2.m3","N6_NR4A2.e3","Nr4a2"
"Nr4a3.m0","Nr4a3.m0","N12_M02481/N14_M02484/N16_M02488/N11_M02479/N17_M02494/N13_M02482/N7_M00891/N2_M00239/N88_M05858/N19_M02506/N15_M02486/N39_M03609/N4_M00882/N18_M02498/N118_M06822/N119_M06831/N117_M06819/N127_M10812","Nr4a3"
"Nr4a3.m1","Nr4a3.m1","N130_M12315","Nr4a3"
"Nr4a3.m10","Nr4a3.m10","N26_M03588","Nr4a3"
"Nr4a3.m2","Nr4a3.m2","N61_M05805/N8_M01380/N124_M10731/N27_M03589","Nr4a3"
"Nr4a3.m3","Nr4a3.m3","N29_M03591/N37_M03607/N20_M02950/N93_M05869/N103_M05885/N95_M05871/N89_M05865/N91_M05867/N55_M04138/N23_M03581/N53_M03639/N50_M03624/N45_M03619/N97_M05875/N43_M03614/N75_M05845/N21_M03579/N41_M03612/N77_M05847/N98_M05876/N51_M03625/N105_M05887","Nr4a3"
"Nr4a3.m4","Nr4a3.m4","N34_M03598/N49_M03623/N46_M03620/N28_M03590/N31_M03595","Nr4a3"
"Nr4a3.m5","Nr4a3.m5","N48_M03622/N33_M03597","Nr4a3"
"Nr4a3.m6","Nr4a3.m6","N47_M03621/N35_M03599/N32_M03596","Nr4a3"
"Nr4a3.m7","Nr4a3.m7","N24_M03582/N22_M03580/N52_M03626","Nr4a3"
"Nr4a3.m8","Nr4a3.m8","N76_M05846/N94_M05870/N78_M05848","Nr4a3"
"Nr4a3.m9","Nr4a3.m9","N25_M03587","Nr4a3"
"Nr5a1.m0","Nr5a1.m0","N5_NR5A1.e0","Nr5a1"
"NR5A2.m0","NR5A2.m0","N6_M05794/N3_Nr5a2.h2/N9_M05797/N2_Nr5a2.h1/N4_MA0505.3/N1_Nr5a2.h0/N11_NR5A2.e0","NR5A2"
"NR5A2.m1","NR5A2.m1","N8_M05796/N5_M05793","NR5A2"
"NR5A2.m2","NR5A2.m2","N10_M05798/N7_M05795","NR5A2"
"Nr6a1.m0","Nr6a1.m0","N1_M04139","Nr6a1"
"Nr6a1.m1","Nr6a1.m1","N4_M04142/N3_M04141","Nr6a1"
"Nr6a1.m2","Nr6a1.m2","N6_M06825","Nr6a1"
"Nr6a1.m3","Nr6a1.m3","N9_M12271/N12_NR6A1.e0","Nr6a1"
"Nrf1.m0","Nrf1.m0","N5_NRF1.h1/N2_M03784/N11_NRF1.e4/N7_NRF1.e0/N10_NRF1.e3/N3_M10778/N4_NRF1.h0/N1_MA0506.3","Nrf1"
"Nrf1.m1","Nrf1.m1","N8_NRF1.e1","Nrf1"
"Nrl.m0","Nrl.m0","N2_M04481/N3_M04482","Nrl"
"Nrl.m1","Nrl.m1","N4_M04483/N6_MA0842.3/N7_NRL.h0/N5_M04484","Nrl"
"OBOX1.m0","OBOX1.m0","N2_Obox1.h0/N3_OBOX1.e0","OBOX1"
"OBOX2.m0","OBOX2.m0","N1_Obox2.h0/N2_OBOX2.e0","OBOX2"
"OBOX3.m0","OBOX3.m0","N1_Obox3.h0/N2_OBOX3.e0","OBOX3"
"OBOX5.m0","OBOX5.m0","N1_Obox5.h0/N3_OBOX5.e0/N2_Obox5.h1/N4_OBOX5.e1","OBOX5"
"OBOX6.m0","OBOX6.m0","N1_Obox6.h0/N2_OBOX6.e0","OBOX6"
"OBOX7.m0","OBOX7.m0","M00584","OBOX7"
"OCT--OCT-SHORT.m0","OCT--OCT-SHORT.m0","OCT--OCT-short.h0","OCT--OCT-SHORT"
"OCT--OCT.m0","OCT--OCT.m0","N1_OCT--OCT.h0","OCT--OCT"
"OCT--OCT.m1","OCT--OCT.m1","N2_OCT--OCT.h1/N3_OCT--OCT.h2","OCT--OCT"
"OCT4--SOX17.m0","OCT4--SOX17.m0","Oct4--Sox17.h0","OCT4--SOX17"
"OLIG1.m0","OLIG1.m0","N1_M03010/N2_MA0826.1/N3_OLIG1.h0/N4_OLIG1.e0","OLIG1"
"Olig2.m0","Olig2.m0","N2_MA1997.2","Olig2"
"Olig2.m1","Olig2.m1","N9_M04430/N7_M04428/N5_M03017/N10_MA0678.1/N11_OLIG2.h0/N13_OLIG2.e1/N12_OLIG2.e0/N4_M03016","Olig2"
"Olig2.m2","Olig2.m2","N6_M04427/N8_M04429","Olig2"
"Olig3.m0","Olig3.m0","N8_M04380/N7_M04379/N5_M04377/N3_M04375/N10_OLIG3.h0/N11_OLIG3.e0/N2_M03002/N9_MA0827.1","Olig3"
"Onecut1.m0","Onecut1.m0","N1_M10643/N10_ONECUT1.h0/N5_M04877/N4_M03919","Onecut1"
"Onecut1.m1","Onecut1.m1","N3_M03148/N14_ONECUT1.e2/N13_ONECUT1.e1/N2_M03147","Onecut1"
"Onecut1.m2","Onecut1.m2","N6_M04878/N8_M04880/N9_MA0679.3/N11_ONECUT1.h1/N12_ONECUT1.e0","Onecut1"
"Onecut1.m3","Onecut1.m3","N7_M04879","Onecut1"
"Onecut2.m0","Onecut2.m0","N1_M03146/N11_ONECUT2.h1/N12_ONECUT2.e0","Onecut2"
"Onecut2.m1","Onecut2.m1","N6_M04874/N9_MA0756.3/N2_M03918","Onecut2"
"Onecut2.m2","Onecut2.m2","N8_M04876/N4_M04872","Onecut2"
"Onecut2.m3","Onecut2.m3","N5_M04873","Onecut2"
"Onecut2.m4","Onecut2.m4","N7_M04875","Onecut2"
"ONECUT3.m0","ONECUT3.m0","N2_M03921/N5_M04882/N1_M03920/N4_M04881","ONECUT3"
"ONECUT3.m1","ONECUT3.m1","N3_M03149/N6_MA0757.2/N7_ONECUT3.h0/N8_ONECUT3.e0","ONECUT3"
"Osr1.m0","Osr1.m0","N1_M01256/N2_Osr1.h0/N8_OSR1.e0/N4_M04681/N6_MA1542.2/N7_OSR1.h0/N5_M04682","Osr1"
"Osr2.m0","Osr2.m0","N2_Osr2.h0/N9_OSR2.e0","Osr2"
"Osr2.m1","Osr2.m1","N4_M04725/N6_M09459/N5_M04726","Osr2"
"Osr2.m2","Osr2.m2","N7_MA1646.2/N8_OSR2.h0","Osr2"
"OTP.m0","OTP.m0","N1_Otp.h0/N2_OTP.e0","OTP"
"OTX1.m0","OTX1.m0","N1_M03453/N15_OTX1.e3/N4_M03320/N13_OTX1.e1","OTX1"
"OTX1.m1","OTX1.m1","N6_M05226/N8_M05228/N9_M05229/N7_M05227/N5_M03321/N10_MA0711.2/N11_OTX1.h0/N14_OTX1.e2/N2_M03454/N16_OTX1.e4","OTX1"
"OTX1.m2","OTX1.m2","N3_Otx1.h0/N12_OTX1.e0","OTX1"
"Otx2.m0","Otx2.m0","N7_M05456/N6_M05455/N8_MA0712.3/N9_OTX2.h0/N1_M10692/N5_M03402/N12_OTX2.e2","Otx2"
"Otx2.m1","Otx2.m1","N3_Otx2.h1/N10_OTX2.e0","Otx2"
"Otx2.m2","Otx2.m2","N4_M03401/N11_OTX2.e1","Otx2"
"OVOL1.m0","OVOL1.m0","N1_M04760/N4_OVOL1.h0/N2_M04761/N3_MA1544.2","OVOL1"
"Ovol2.m0","Ovol2.m0","N4_M04651/N6_MA1545.2/N7_OVOL2.h0/N5_M04652/N3_M04650/N2_M04649","Ovol2"
"PATZ1.m0","PATZ1.m0","N3_MA1961.2/N2_M11260/N4_PATZ1.e0/N1_M09422","PATZ1"
"PAX1.m0","PAX1.m0","N1_M03646/N4_MA0779.2/N5_PAX1.h0/N7_PAX1.e1/N3_M05892/N2_M05891","PAX1"
"PAX1.m1","PAX1.m1","N6_PAX1.e0","PAX1"
"Pax2.m0","Pax2.m0","N3_M05633/N1_M03498/N5_PAX2.e3/N4_MA0067.3","Pax2"
"PAX3--FKHR-FUSION.m0","PAX3--FKHR-FUSION.m0","PAX3--FKHR-fusion.h0","PAX3--FKHR-FUSION"
"Pax3.m0","Pax3.m0","N4_M04095","Pax3"
"Pax3.m1","Pax3.m1","N11_M10711/N5_M04096/N17_M04089/N16_M03501/N27_MA0780.1/N29_PAX3.h0/N33_PAX3.e2/N23_M05646","Pax3"
"Pax3.m2","Pax3.m2","N9_M10709","Pax3"
"Pax3.m3","Pax3.m3","N10_M10710","Pax3"
"Pax3.m4","Pax3.m4","N15_M00414/N13_M00407","Pax3"
"Pax3.m5","Pax3.m5","N18_M04090","Pax3"
"Pax3.m6","Pax3.m6","N19_M05642/N28_MA1546.2/N30_PAX3.h1/N22_M05645","Pax3"
"Pax3.m7","Pax3.m7","N20_M05643","Pax3"
"Pax3.m8","Pax3.m8","N26_M11939/N32_PAX3.e1","Pax3"
"Pax4.m0","Pax4.m0","N1_Pax4.h0/N26_PAX4.e5/N20_PAX4.h0/N28_PAX4.e7/N4_M03500/N19_MA0068.2/N3_M03499/N27_PAX4.e6","Pax4"
"Pax4.m1","Pax4.m1","N2_M00403","Pax4"
"Pax4.m2","Pax4.m2","N5_M04087","Pax4"
"Pax4.m3","Pax4.m3","N6_M04088/N11_M05638","Pax4"
"Pax4.m4","Pax4.m4","N7_M05634","Pax4"
"Pax4.m5","Pax4.m5","N12_M05639/N13_M05640","Pax4"
"Pax5.m0","Pax5.m0","N1_M03647/N25_PAX5.e9","Pax5"
"Pax5.m1","Pax5.m1","N9_M10746/N14_PAX5.h1","Pax5"
"Pax5.m2","Pax5.m2","N11_M12332/N22_PAX5.e6","Pax5"
"Pax5.m3","Pax5.m3","N12_MA0014.4/N15_PAX5.h2","Pax5"
"Pax5.m4","Pax5.m4","N17_PAX5.e1","Pax5"
"Pax5.m5","Pax5.m5","N18_PAX5.e2","Pax5"
"Pax5.m6","Pax5.m6","N19_PAX5.e3","Pax5"
"Pax5.m7","Pax5.m7","N20_PAX5.e4","Pax5"
"Pax5.m8","Pax5.m8","N23_PAX5.e7","Pax5"
"Pax6.m0","Pax6.m0","N1_M00595","Pax6"
"Pax6.m1","Pax6.m1","N2_Pax6.h0/N19_PAX6.e3","Pax6"
"Pax6.m2","Pax6.m2","N3_M00391","Pax6"
"Pax6.m3","Pax6.m3","N4_M00392","Pax6"
"Pax6.m4","Pax6.m4","N5_M00396","Pax6"
"Pax6.m5","Pax6.m5","N7_M03495/N20_PAX6.e4","Pax6"
"Pax6.m6","Pax6.m6","N12_M11929/N16_PAX6.e0/N15_PAX6.h1/N18_PAX6.e2/N13_MA0069.1","Pax6"
"Pax6.m7","Pax6.m7","N17_PAX6.e1","Pax6"
"Pax7.m0","Pax7.m0","N5_Pax7.h3/N25_PAX7.e0","Pax7"
"Pax7.m1","Pax7.m1","N22_M06186/N8_M03496/N26_PAX7.e1/N12_M05622/N15_M05625","Pax7"
"Pax7.m2","Pax7.m2","N21_M05631/N18_M05628/N4_Pax7.h2/N9_M03497/N24_PAX7.h0/N27_PAX7.e2/N1_MA0680.3","Pax7"
"Pax7.m3","Pax7.m3","N3_Pax7.h1","Pax7"
"Pax7.m4","Pax7.m4","N2_Pax7.h0","Pax7"
"Pax7.m5","Pax7.m5","N20_M05630/N17_M05627/N11_M05621","Pax7"
"Pax7.m6","Pax7.m6","N10_M05620/N16_M05626","Pax7"
"Pax7.m7","Pax7.m7","N6_M00400","Pax7"
"Pax8.m0","Pax8.m0","N2_M02508","Pax8"
"Pax8.m1","Pax8.m1","N3_M04150","Pax8"
"Pax8.m2","Pax8.m2","N4_M04151","Pax8"
"Pax8.m3","Pax8.m3","N5_M04152","Pax8"
"Pax8.m4","Pax8.m4","N6_M06833","Pax8"
"Pax8.m5","Pax8.m5","N8_M05889/N9_M05890/N10_MA2094.1","Pax8"
"Pax9.m0","Pax9.m0","N7_M03648/N10_MA0781.2/N11_PAX9.h0/N12_PAX9.e0/N1_M04148","Pax9"
"Pbx1.m0","Pbx1.m0","N6_M10684/N10_PBX1.h0","Pbx1"
"Pbx1.m1","Pbx1.m1","N8_M11872/N13_PBX1.e1/N11_PBX1.h1/N15_PBX1.e3/N9_MA0070.2","Pbx1"
"Pbx2.m0","Pbx2.m0","N1_MA1113.3/N3_PBX2.h1","Pbx2"
"Pbx3.m0","Pbx3.m0","N1_Pbx3.h0/N3_M10683/N7_PBX3.e1/N4_MA1114.2/N5_PBX3.h0","Pbx3"
"Pbx3.m1","Pbx3.m1","N6_PBX3.e0","Pbx3"
"Pbx4.m0","Pbx4.m0","N1_M02192","Pbx4"
"Pbx4.m1","Pbx4.m1","N2_M06639/N5_M06642","Pbx4"
"Pbx4.m3","Pbx4.m3","N6_M00331","Pbx4"
"Pdx1.m0","Pdx1.m0","N1_Pdx1.h0","Pdx1"
"Pdx1.m1","Pdx1.m1","N2_Pdx1.h1/N13_PDX1.e3","Pdx1"
"Pdx1.m2","Pdx1.m2","N3_M03359/N14_PDX1.e4","Pdx1"
"Pdx1.m3","Pdx1.m3","N4_M03360/N8_MA0132.3/N9_PDX1.h0/N15_PDX1.e5/N12_PDX1.e2","Pdx1"
"Pdx1.m4","Pdx1.m4","N10_PDX1.e0","Pdx1"
"Pgr.m0","Pgr.m0","N5_PGR.h0/N1_MA2323.1","Pgr"
"Pgr.m1","Pgr.m1","N4_MA2327.1","Pgr"
"Phox2a.m0","Phox2a.m0","N4_M03398/N7_MA0713.1/N8_PHOX2A.h0/N10_PHOX2A.e1/N1_Phox2a.h0/N3_M10687","Phox2a"
"Phox2a.m1","Phox2a.m1","N2_Phox2a.h1/N9_PHOX2A.e0","Phox2a"
"Phox2a.m2","Phox2a.m2","N5_M05448/N6_M05449","Phox2a"
"Phox2b.m0","Phox2b.m0","N1_Phox2b.h0/N10_M05214/N11_M05215","Phox2b"
"Phox2b.m1","Phox2b.m1","N2_Phox2b.h1/N14_PHOX2B.e0","Phox2b"
"Phox2b.m2","Phox2b.m2","N5_M00337","Phox2b"
"Phox2b.m3","Phox2b.m3","N12_MA0681.3/N13_PHOX2B.h0","Phox2b"
"PITX1--EBOX.m0","PITX1--EBOX.m0","Pitx1--Ebox.h0","PITX1--EBOX"
"Pitx1.m0","Pitx1.m0","N3_Pitx1.h1/N13_PITX1.e0","Pitx1"
"Pitx1.m1","Pitx1.m1","N10_M05135/N7_M05132/N9_M05134/N11_MA0682.3/N12_PITX1.h0","Pitx1"
"Pitx2.m0","Pitx2.m0","N3_M00366/N8_M05436/N1_Pitx2.h0/N12_PITX2.e1/N6_M05434/N9_MA1547.2/N7_M05435/N10_PITX2.h0","Pitx2"
"Pitx3.m0","Pitx3.m0","N1_Pitx3.h0/N7_PITX3.e0","Pitx3"
"Pitx3.m1","Pitx3.m1","N3_M05201/N4_M05202","Pitx3"
"Pknox1.m0","Pknox1.m0","N1_Pknox1.h0/N8_MA0782.3/N9_PKNOX1.h0","Pknox1"
"Pknox1.m1","Pknox1.m1","N2_Pknox1.h1/N10_PKNOX1.e0","Pknox1"
"Pknox1.m2","Pknox1.m2","N3_M03382/N11_PKNOX1.e1/N6_M05412","Pknox1"
"Pknox2.m0","Pknox2.m0","N1_M03474/N10_PKNOX2.e2/N3_M03399/N7_PKNOX2.h0/N9_PKNOX2.e1/N6_MA0783.1","Pknox2"
"Pknox2.m1","Pknox2.m1","N2_Pknox2.h0/N8_PKNOX2.e0","Pknox2"
"PLAG1.m0","PLAG1.m0","N2_PLAG1.h0/N3_PLAG1.e0/N1_MA0163.1","PLAG1"
"PLAGL1.m0","PLAGL1.m0","N1_MA1615.2/N2_Plagl1.h1","PLAGL1"
"PLAGL1.m1","PLAGL1.m1","N3_Plagl1.h2/N5_PLAGL1.e0","PLAGL1"
"PLAGL1.m2","PLAGL1.m2","N4_Plagl1.h3","PLAGL1"
"PLAGL2.m0","PLAGL2.m0","N1_M01253/N2_MA1548.2/N3_PLAGL2.h0","PLAGL2"
"POGK.m0","POGK.m0","M06117","POGK"
"Pou1f1.m0","Pou1f1.m0","N1_Pou1f1.h0/N16_POU1F1.e2","Pou1f1"
"Pou1f1.m1","Pou1f1.m1","N6_M05659/N3_M03505/N13_POU1F1.h2/N18_POU1F1.e4","Pou1f1"
"Pou1f1.m2","Pou1f1.m2","N7_M05660/N4_M05657","Pou1f1"
"Pou1f1.m3","Pou1f1.m3","N8_M05661","Pou1f1"
"Pou1f1.m4","Pou1f1.m4","N9_M05662/N10_MA0784.3","Pou1f1"
"POU2F1--SOX2.m0","POU2F1--SOX2.m0","MA1962.1","POU2F1--SOX2"
"Pou2f1.m0","Pou2f1.m0","N1_Pou2f1.h0","Pou2f1"
"Pou2f1.m1","Pou2f1.m1","N2_M03512/N11_MA0785.2/N12_POU2F1.h0","Pou2f1"
"Pou2f1.m2","Pou2f1.m2","N4_M11949","Pou2f1"
"Pou2f1.m3","Pou2f1.m3","N7_M11953","Pou2f1"
"Pou2f1.m4","Pou2f1.m4","N9_M11955","Pou2f1"
"Pou2f2.m0","Pou2f2.m0","N1_M03526/N43_POU2F2.e21/N5_M02946","Pou2f2"
"Pou2f2.m1","Pou2f2.m1","N13_M05653/N2_M03527/N44_POU2F2.e22/N17_M08430/N18_M08431/N4_Pou2f2.h0/N38_POU2F2.e16/N19_M08432/N20_M08433/N21_MA0507.3/N31_POU2F2.e9/N33_POU2F2.e11/N22_POU2F2.h0/N25_POU2F2.e2","Pou2f2"
"Pou2f2.m2","Pou2f2.m2","N3_M10712","Pou2f2"
"Pou2f2.m3","Pou2f2.m3","N16_M05656","Pou2f2"
"Pou2f2.m4","Pou2f2.m4","N28_POU2F2.e6","Pou2f2"
"Pou2f2.m5","Pou2f2.m5","N32_POU2F2.e10","Pou2f2"
"Pou2f2.m6","Pou2f2.m6","N37_POU2F2.e15","Pou2f2"
"Pou2f3.m0","Pou2f3.m0","N1_Pou2f3.h0/N10_POU2F3.e0/N8_MA0627.3/N9_POU2F3.h0","Pou2f3"
"Pou3f1.m0","Pou3f1.m0","N2_Pou3f1.h1/N17_POU3F1.e0","Pou3f1"
"Pou3f1.m1","Pou3f1.m1","N3_M03519/N15_MA0786.2/N16_POU3F1.h0/N18_POU3F1.e1","Pou3f1"
"Pou3f1.m2","Pou3f1.m2","N5_M05687","Pou3f1"
"Pou3f1.m3","Pou3f1.m3","N9_M05691","Pou3f1"
"Pou3f1.m4","Pou3f1.m4","N10_M05692","Pou3f1"
"Pou3f1.m5","Pou3f1.m5","N11_M05693","Pou3f1"
"Pou3f1.m6","Pou3f1.m6","N12_M05694","Pou3f1"
"Pou3f2.m0","Pou3f2.m0","N2_Pou3f2.h1","Pou3f2"
"Pou3f2.m1","Pou3f2.m1","N3_Pou3f2.h2/N25_POU3F2.e3","Pou3f2"
"Pou3f2.m10","Pou3f2.m10","N17_M11967/N23_POU3F2.e1","Pou3f2"
"Pou3f2.m11","Pou3f2.m11","N18_M11968/N24_POU3F2.e2","Pou3f2"
"Pou3f2.m12","Pou3f2.m12","N21_POU3F2.h1","Pou3f2"
"Pou3f2.m2","Pou3f2.m2","N5_M03518/N20_POU3F2.h0/N27_POU3F2.e5/N19_MA0787.1","Pou3f2"
"Pou3f2.m3","Pou3f2.m3","N10_M05681","Pou3f2"
"Pou3f2.m4","Pou3f2.m4","N11_M05682","Pou3f2"
"Pou3f2.m5","Pou3f2.m5","N12_M05683","Pou3f2"
"Pou3f2.m6","Pou3f2.m6","N13_M05684","Pou3f2"
"Pou3f2.m7","Pou3f2.m7","N14_M05685","Pou3f2"
"Pou3f2.m8","Pou3f2.m8","N15_M05686","Pou3f2"
"Pou3f2.m9","Pou3f2.m9","N16_M11966/N22_POU3F2.e0","Pou3f2"
"Pou3f3.m0","Pou3f3.m0","N1_Pou3f3.h0","Pou3f3"
"Pou3f3.m1","Pou3f3.m1","N2_Pou3f3.h1/N8_POU3F3.e0","Pou3f3"
"Pou3f3.m2","Pou3f3.m2","N3_M03523/N7_POU3F3.h0/N9_POU3F3.e1/N6_MA0788.1","Pou3f3"
"Pou3f4.m0","Pou3f4.m0","N1_Pou3f4.h0/N15_POU3F4.e0","Pou3f4"
"Pou3f4.m1","Pou3f4.m1","N2_M03521/N13_MA0789.1/N14_POU3F4.h0/N16_POU3F4.e1","Pou3f4"
"Pou3f4.m2","Pou3f4.m2","N9_M05701","Pou3f4"
"Pou3f4.m3","Pou3f4.m3","N10_M05702","Pou3f4"
"Pou3f4.m4","Pou3f4.m4","N11_M05703","Pou3f4"
"Pou3f4.m5","Pou3f4.m5","N12_M05704","Pou3f4"
"Pou4f1.m0","Pou4f1.m0","N4_M05676/N1_M03516/N5_MA0790.2/N6_POU4F1.h0/N7_POU4F1.e0","Pou4f1"
"Pou4f1.m1","Pou4f1.m1","N3_M05675","Pou4f1"
"Pou4f2.m0","Pou4f2.m0","N2_M03515/N3_MA0683.2/N4_POU4F2.h0/N6_POU4F2.e1","Pou4f2"
"Pou4f3.m0","Pou4f3.m0","N1_Pou4f3.h0/N13_POU4F3.e0","Pou4f3"
"Pou4f3.m1","Pou4f3.m1","N5_M05665/N4_M05664/N2_M03506/N11_MA0791.2/N12_POU4F3.h0/N14_POU4F3.e1","Pou4f3"
"Pou4f3.m2","Pou4f3.m2","N6_M05666","Pou4f3"
"Pou4f3.m3","Pou4f3.m3","N8_M05668/N10_M05670/N7_M05667/N9_M05669","Pou4f3"
"POU5F1--SOX2.m0","POU5F1--SOX2.m0","N1_MA0142.1/N2_Pou5f1--Sox2.h0","POU5F1--SOX2"
"Pou5f1.m0","Pou5f1.m0","N11_M08434/N2_M08615/N18_POU5F1.e4/N14_POU5F1.e0/N3_M08616/N17_POU5F1.e3","Pou5f1"
"Pou5f1.m1","Pou5f1.m1","N4_Pou5f1.h0","Pou5f1"
"Pou5f1.m2","Pou5f1.m2","N7_M05707/N5_M05705","Pou5f1"
"Pou5f1.m3","Pou5f1.m3","N6_M05706","Pou5f1"
"Pou5f1.m4","Pou5f1.m4","N8_M05708","Pou5f1"
"Pou5f1.m5","Pou5f1.m5","N12_MA1115.2/N13_POU5F1.h0","Pou5f1"
"Pou5f1.m6","Pou5f1.m6","N15_POU5F1.e1","Pou5f1"
"POU5F1B.m0","POU5F1B.m0","N1_M03443/N4_POU5F1B.h0/N3_MA0792.1","POU5F1B"
"POU5F1B.m1","POU5F1B.m1","N2_M03444","POU5F1B"
"Pou6f1.m0","Pou6f1.m0","N2_Pou6f1.h1/N19_POU6F1.e2/N1_Pou6f1.h0/N18_POU6F1.e1","Pou6f1"
"Pou6f1.m1","Pou6f1.m1","N3_M02176/N13_MA0628.2/N15_POU6F1.h0","Pou6f1"
"Pou6f1.m2","Pou6f1.m2","N4_M05553","Pou6f1"
"Pou6f1.m3","Pou6f1.m3","N7_M05556","Pou6f1"
"Pou6f1.m4","Pou6f1.m4","N8_M05557","Pou6f1"
"Pou6f1.m5","Pou6f1.m5","N9_M05558","Pou6f1"
"Pou6f1.m6","Pou6f1.m6","N10_M05559","Pou6f1"
"Pou6f1.m7","Pou6f1.m7","N11_M05560","Pou6f1"
"Pou6f1.m8","Pou6f1.m8","N12_M11869/N17_POU6F1.e0","Pou6f1"
"Pou6f2.m0","Pou6f2.m0","N1_M00417","Pou6f2"
"Pou6f2.m1","Pou6f2.m1","N2_M03507/N5_MA0793.2/N6_POU6F2.h0/N7_POU6F2.e0/N4_M03509/N9_POU6F2.e2","Pou6f2"
"Pou6f2.m2","Pou6f2.m2","N3_M03508/N8_POU6F2.e1","Pou6f2"
"PPARA--RXRA.m0","PPARA--RXRA.m0","N1_MA1148.2/N2_PPARA--RXRA.h0","PPARA--RXRA"
"PPARA.m0","PPARA.m0","N1_MA2338.1","PPARA"
"PPARA.m1","PPARA.m1","N3_M12306/N4_PPARA.e0","PPARA"
"PPARA.m2","PPARA.m2","N5_PPARA.e1","PPARA"
"PPARD.m0","PPARD.m0","N4_M06813","PPARD"
"PPARD.m1","PPARD.m1","N5_M06814/N6_M06829","PPARD"
"PPARD.m2","PPARD.m2","N7_M10738/N8_M10739","PPARD"
"PPARD.m3","PPARD.m3","N10_M12316","PPARD"
"PPARD.m4","PPARD.m4","N11_M05785/N15_MA1550.2/N16_PPARD.h0/N13_M05787","PPARD"
"PPARD.m5","PPARD.m5","N14_M05788","PPARD"
"PPARG--RXRA.m0","PPARG--RXRA.m0","N1_MA0065.3/N2_Pparg--Rxra.h0","PPARG--RXRA"
"PPARG.m0","PPARG.m0","N3_M12261","PPARG"
"PPARG.m1","PPARG.m1","N4_M12262","PPARG"
"PPARG.m2","PPARG.m2","N7_PPARG.h0/N6_MA0066.2","PPARG"
"PRDM1.m0","PRDM1.m0","N1_M02935/N16_PRDM1.e3","PRDM1"
"PRDM1.m1","PRDM1.m1","N7_M08985","PRDM1"
"PRDM1.m2","PRDM1.m2","N10_MA0508.4/N12_PRDM1.h1","PRDM1"
"PRDM1.m3","PRDM1.m3","N13_PRDM1.e0","PRDM1"
